LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Noida,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
Noida,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹14,99,499"
Noida,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
Noida,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
Noida,2019,Maruti,Vitara Brezza VDI,Manual,"28,137 km",Diesel,1st Owner,"₹7,92,999"
Noida,2018,Maruti,Vitara Brezza VDI,Manual,"20,245 km",Diesel,1st Owner,"₹7,69,899"
Noida,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
Noida,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,88,999"
Noida,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"7,676 km",Petrol,1st Owner,"₹9,95,499"
Noida,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
Noida,2015,Hyundai,Creta 1.6 S,Manual,"22,587 km",Petrol,1st Owner,"₹8,02,599"
Noida,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"62,254 km",Diesel,1st Owner,"₹5,34,299"
Noida,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"43,568 km",Diesel,2nd Owner,"₹7,76,099"
Noida,2018,Maruti,Eeco 7 STR,Manual,"18,876 km",Petrol,2nd Owner,"₹3,40,699"
Noida,2017,Maruti,Vitara Brezza VDI OPT,Manual,"83,741 km",Diesel,1st Owner,"₹7,00,299"
Noida,2016,Maruti,Vitara Brezza ZDI,Manual,"1,05,991 km",Diesel,1st Owner,"₹6,33,799"
Noida,2016,Mahindra,Scorpio S10,Manual,"61,012 km",Diesel,1st Owner,"₹9,92,899"
Noida,2018,Maruti,Eeco 7 STR,Manual,"72,019 km",Petrol,1st Owner,"₹3,29,399"
Noida,2019,Maruti,Vitara Brezza VDI,Manual,"31,245 km",Diesel,1st Owner,"₹7,89,499"
Noida,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
Noida,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
Noida,2017,Maruti,Ciaz VXI,Manual,"55,212 km",Petrol,1st Owner,"₹5,83,799"
Noida,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹5,99,099"
Noida,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹2,54,399"
Noida,2020,Honda,City ZX CVT,Automatic,"10,322 km",Petrol,1st Owner,"₹12,71,199"
Noida,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"61,732 km",Petrol,1st Owner,"₹4,76,699"
Noida,2015,Maruti,Swift Dzire VDI ABS,Manual,"72,380 km",Diesel,1st Owner,"₹4,80,099"
Noida,2012,Maruti,Swift Dzire VDI BS IV,Manual,"54,918 km",Diesel,1st Owner,"₹4,55,499"
Noida,2019,Maruti,Dzire VDI,Manual,"26,352 km",Diesel,1st Owner,"₹6,29,899"
Noida,2016,Maruti,Ciaz VXI OPT,Manual,"76,459 km",Petrol,2nd Owner,"₹5,47,499"
Noida,2012,Maruti,Swift Dzire ZDI,Manual,"52,479 km",Diesel,1st Owner,"₹3,79,299"
Noida,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"62,462 km",Petrol,1st Owner,"₹4,89,699"
Noida,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"41,186 km",Petrol,1st Owner,"₹4,60,199"
Noida,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,11,099"
Noida,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
Noida,2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"7,620 km",Petrol,2nd Owner,"₹8,25,399"
